date,event
2026-03-01,삼일절
2026-04-01,학교운영위원회
2026-05-01,노동절
2026-07-01,"기말고사(1,2,3)"
2026-12-01,전환기 프로그램(3)
2027-01-01,신정
2027-02-01,"개학식
교내 학력진단평가"
2026-03-02,대체공휴일
2026-04-02,학부모간담회(2)
2026-07-02,"기말고사(1,2,3)
교직원 CPR교육"
2026-09-02,"대수능모의평가(3)
학력평가(1,2)"
2026-10-02,"중간고사(1,2)
학기말고사(3)"
2026-11-02,"봉사 2시간
학부모상담주간(~6)"
2026-12-02,전환기 프로그램(3)
2026-03-03,"입학식(1), 개학식(2,3)"
2026-04-03,동아리활동
2026-06-03,지방선거
2026-07-03,"기말고사(1,2,3)"
2026-10-03,개천절
2026-12-03,전환기 프로그램(3)
2026-05-04,"재량휴업일(1,2,3)      교생실습(~29)"
2026-06-04,"대수능모의평가(3)
학력평가(1,2)"
2026-09-04,동아리활동
2026-11-04,수업공개의 날(~5)
2026-12-04,"전환기 프로그램(3)
6차 교과협의회"
2027-01-04,방학식
2026-05-05,어린이날
2026-09-05,입학설명회
2026-10-05,대체공휴일
2027-01-05,방과후 4기(~1/20)
2027-02-05,"진급사정회(1,2)"
2026-03-06,학급임원선거
2026-04-06,"기후위기교육
(봉사 2시간)"
2026-05-06,"교생실습(~29)
화재대피훈련(1,2,3)"
2026-06-06,현충일
2026-07-06,"학생 CPR교육 
3~4교시(1학년)"
2026-10-06,"중간고사(1,2)
학기말고사(3)"
2026-11-06,"봉사 2시간
5차 교과협의회"
2027-02-06,설날연휴
2026-04-07,학부모간담회(1)
2026-05-07,학력평가(3)
2026-07-07,"진학설명회(1,2)"
2026-10-07,"중간고사(1,2)
학기말고사(3)"
2026-11-07,입학설명회
2026-12-07,전환기 프로그램(3)
2027-02-07,설날
2026-05-08,동아리활동
2026-07-08,학력평가(3)
2026-10-08,"중간고사(1,2)
학기말고사(3)"
2026-12-08,"기말고사(1,2)"
2027-02-08,설날연휴
2026-03-09,"성폭력예방교육(1,2,3)"
2026-07-09,"학생회장선거
결핵검진(2,3학년)"
2026-10-09,한글날
2026-11-09,학급회의
2026-12-09,"기말고사(1,2)"
2027-02-09,대체공휴일
2026-04-10,"학교폭력예방교육(1,2,3)"
2026-07-10,봉사 2시간
2026-12-10,"기말고사(1,2)"
2026-05-11,"방과후(1) 1기  (~6/15)      헌혈봉사
학급회의"
2026-09-11,동아리활동
2026-12-11,"기말고사(1,2)
수능성적표통지(3)
전 직원 연수"
2026-06-12,"동아리활동
부장기획연수(~13)"
2026-10-12,"약물오남용예방교육
(1,2,3)"
2027-02-12,"종업식(1,2)
졸업식(3)"
2026-03-13,"동아리부서편성
1차 교과협의회"
2026-04-13,2차 교과협의회
2026-07-13,"학술발표회(1~4)
봉사 2시간"
2026-11-13,동아리활동
2026-07-14,세계문화축제
2026-09-14,"헌혈봉사
4차 교과협의회"
2026-10-14,진로탐색교실
2026-05-15,"흡연예방교육(1,2,3)"
2026-06-15,3차 교과협의회
2026-07-15,"학급임원선거
진학설명회(3)"
2026-08-15,광복절
2026-10-15,개교기념일 행사
2026-03-16,"상견례, 임명장수여식
소변검사(2,3학년)
방과후 1기(~6/15)"
2026-05-16,입학설명회
2026-07-16,방학식
2026-10-16,"재량휴업일(1,2,3)"
2026-11-16,"마약류예방교육(1,2,3)"
2026-03-17,학교설명회(1)
2026-06-17,중학생 진로탐색교실
2026-07-17,제헌절
2026-08-17,대체공휴일
2026-03-18,학교설명회(2)
2026-05-18,봉사 2시간
2026-08-18,"개학식
교내학력진단평가"
2026-09-18,학급회의
2026-12-18,고사장 설치
2026-03-19,진학설명회(3)
2026-06-19,동아리활동
2026-11-19,"대학수학능력시험(3)
재량휴업일(1,2,3)"
2026-03-20,"학급회의
리더십캠프(교내)"
2026-05-20,건강검진(1학년)
2026-07-20,"방과후 2기
(~8/4, 12일)"
2026-10-20,"학력평가(1,2,3)"
2026-11-20,"재량휴업일(1,2,3)"
2026-08-21,동아리활동
2026-12-21,"신입생선발전형일
재량휴업일(1,2,3)"
2026-05-22,"명덕올림픽(1,2)
졸업앨범촬영(3)"
2027-02-22,신입생OT
2026-03-23,"약물오남용 예방교육(1,2,3)"
2026-10-23,"소규모테마여행 안전교육연수(2)
학급회의(1,3)"
2026-11-23,봉사활동 소감문 작성
2027-02-23,신학년집중준비기간
2026-03-24,"학력평가(1,2,3)"
2026-05-24,부처님오신날
2026-08-24,"학부모간담회(1)
학급회의"
2026-09-24,추석연휴
2027-02-24,신학년집중준비기간
2026-05-25,대체공휴일
2026-08-25,학부모간담회(2)
2026-09-25,추석
2026-12-25,성탄절
2027-02-25,신학년집중준비기간
2026-05-26,학부모상담주간(~29)
2026-06-26,"가정폭력아동학대예방교육(1,2,3)"
2026-08-26,중학생진로탐색교실
2026-09-26,추석연휴
2026-10-26,"소규모테마여행 안전교육연수(1학년등교)
소규모테마여행(2)"
2026-03-27,동아리활동
2026-04-27,"중간고사(1,2,3)"
2026-05-27,수업공개의 날
2026-10-27,"소규모테마여행(1,2)"
2026-11-27,동아리 소감문 작성
2026-04-28,"중간고사(1,2,3)"
2026-05-28,교생대표수업
2026-08-28,"리더십캠프(1,2)"
2026-10-28,"소규모테마여행(1,2)"
2026-12-28,"졸업사정회
교내전시회(~31)"
2026-04-29,"중간고사(1,2,3)"
2026-05-29,동아리활동
2026-10-29,"소규모테마여행(1,2)"
2026-03-30,"봉사 교육(7~8교시)
졸업앨범촬영(실내)"
2026-04-30,"중간고사(1,2,3)"
2026-06-30,"기말고사(1,2,3)"
2026-10-30,"재량휴업일(1,2)"
2026-11-30,전환기 프로그램(3)
2026-08-31,"흡연예방교육(2학년)
방과후 3기(~11/23)"
2026-12-31,"동아리발표회(1~4)
봉사 2시간(5~6)"
